model,sort_order,sha256,seq_len,h1_nat,h2_nat,h_bigram_nat,d_h1_nat,d_h2_nat,d_h_bigram_nat,spatial_gap_median,spatial_gap_mean,spatial_gap_p90,seq_face_adj_frac,seq_26_adj_frac,seq_consec_eucl_mean,seq_consec_eucl_median
our_sparse_sdf_vqvae,pre_morton,96d88b18c0c6f80b4f6a231364bd7f3f65c49c732702931b36fabf390245e558,9058,8.116674960042447,7.853073115328297,9.095103033294432,nan,nan,nan,130.0,98.34992278671541,172.0,0.5926907364469471,0.5929115601192447,0.13843498379586244,0.015625
our_sparse_sdf_vqvae,post_morton,96d88b18c0c6f80b4f6a231364bd7f3f65c49c732702931b36fabf390245e558,9058,8.116674960042454,7.8530731153282956,9.100377570671396,7.105427357601002e-15,-1.7763568394002505e-15,0.005274537376964261,7.0,178.1635748773384,211.0,0.49961355857347906,0.8617643811416584,0.02590337744899365,0.02209708691207961
shapellm_vqvae3d,pre_morton,96d88b18c0c6f80b4f6a231364bd7f3f65c49c732702931b36fabf390245e558,1024,5.963768486025254,5.645235204353601,6.807958990926404,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,96d88b18c0c6f80b4f6a231364bd7f3f65c49c732702931b36fabf390245e558,1024,5.9637684860252556,5.645235204353601,6.911522995613735,1.7763568394002505e-15,0.0,0.10356400468733096,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,295c0d02fed02e601691d770055f0f88adab9c1c3ffd75c8b2e8c9dff6600ea2,4893,3.9392621422718137,2.990590813007202,4.80334430044724,nan,nan,nan,53.0,50.18932268404183,60.0,0.9607522485690924,0.9607522485690924,0.037304624834675025,0.015625
our_sparse_sdf_vqvae,post_morton,295c0d02fed02e601691d770055f0f88adab9c1c3ffd75c8b2e8c9dff6600ea2,4893,3.9392621422718097,2.9905908130071994,5.216755826826634,-3.9968028886505635e-15,-2.6645352591003757e-15,0.41341152637939427,5.0,60.7352740265882,103.0,0.5380212591986917,0.8730580539656582,0.027068798035378785,0.015625
shapellm_vqvae3d,pre_morton,295c0d02fed02e601691d770055f0f88adab9c1c3ffd75c8b2e8c9dff6600ea2,1024,3.6676065902199513,2.8982341592132275,5.263224478792557,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,295c0d02fed02e601691d770055f0f88adab9c1c3ffd75c8b2e8c9dff6600ea2,1024,3.6676065902199504,2.8982341592132275,5.676513185539075,-8.881784197001252e-16,0.0,0.41328870674651785,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,c344a9178a4dbc134b38cd18d93180249f014bcb54ad1f04d417fe89d8a47186,16980,7.951020700831322,7.547289441483224,9.600845809632764,nan,nan,nan,309.0,252.02543315710946,532.0,0.6132281053065551,0.6136992755757111,0.16628194666163,0.015625
our_sparse_sdf_vqvae,post_morton,c344a9178a4dbc134b38cd18d93180249f014bcb54ad1f04d417fe89d8a47186,16980,7.951020700831355,7.547289441483225,9.652179623652692,3.375077994860476e-14,8.881784197001252e-16,0.051333814019928425,10.0,167.18298246673163,294.0,0.5043877731315154,0.8601802226279521,0.02548309272725291,0.015625
shapellm_vqvae3d,pre_morton,c344a9178a4dbc134b38cd18d93180249f014bcb54ad1f04d417fe89d8a47186,1024,5.184833515656243,3.3620491503836685,6.022421212918444,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,c344a9178a4dbc134b38cd18d93180249f014bcb54ad1f04d417fe89d8a47186,1024,5.184833515656241,3.3620491503836685,6.429619295624692,-2.6645352591003757e-15,0.0,0.40719808270624736,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
